Name;Review;Stars
ArezX x;Some people who work at customer care are either lazy or rude but most people in Housing Association housing team and their contractors are helpful and good.; 5 stars 
Marisa Mendes;Just as useless as everyone else who works for Housing Association - zero communication. And not helpful at all!; 1 star 
Damien Ellison;Useless, 5 hours on the phone to get emergency repairs done and they still not answered!!!!! Always after the rent and not good with helping vulnerable customers at all; 1 star 
saad bowden;Housing Association is the worst housing for taking booking for repairs and not to mention they never get back to you or finish the work. But they want the rent on time. They say email if you have any problems or go online but never get a reply.; 1 star 
Susan oneill;On the phone waiting for a hour for someone to answer,when they did I was told the system was down.; 1 star 
Anne Williams;Easy to report things; 5 stars 
Froz J;Worst customer service, to report a repair, it takes months, you can’t easily contact them, they never reply back to your emails, the put you on hold for at least 30 minutes, if still no one available they just disconnect you; 1 star 
Karim Zaoui;CONFLICT OF INTEREST ALERT!! A post on this page is from a Robert Hardy . He works for Housing Association and guess what he gave it 5 Stars . Just goes to show ... make up your own minds; 1 star 
Simon Mccarthy;I had some training day there and the guy who helped me Sanjay was an excellent dude; 4 stars 
Thump_ ed;"Don't get yourself trapped in shared ownership with Housing Association, whilst some models may be aimed at helping people to move on - Housing Association seem to be content with having the property filled and collecting rent.  This goes up by 11% every year regardless, meaning we are now paying the market rate plus the mortgage payment on our share.  As a tenant you have rights, in a shared ownership property you don't - avoid.

I won't go on about all the problems from the past, but their inability to resolve ongoing issues (see the other reviews) demonstrates Housing Association just don't seem have the required level of capability to run the broad scope of their operation."; 1 star 
Priscille Nteppe;"Since 2011 I was molested and abused with Housing Association housing association Ealing, the refused to repair my flat in August 2nd 2019 my flat on electric fault on fire the just relocated on the 14h with a fake name and the file for my eviction and the court day was the 18th of October 2019 at Brentford county court for months struggling to survive ! Now in mental health hospital lakeside grovenor abused and force to take medications

.

Same August referred me to mental health Ealing

.

I confirm the corruption and the modern slavery in England ! Pictures and videos "; 1 star 
Patrick Kalombo;; 4 stars 
B Tatou;Have had ongoing issues for months, forever calling to chase the relevant people and i find them generally unresponsive and not bothered. The customer service people are generally kind however, my issues remain unresolved and I am now being ignored which is completely unprofessional. Disappointing; 1 star 
Glow Clinic;Adequate; 3 stars 
A J;Where do I start? Reported a safety issue with my boiler and it still hasn't been resolved after 4 weeks.  I was so happy to be a tenant when I first moved in but their service has gradually declined. Our block of flats wasnt even cleaned over the xmas period.; 1 star 
Kaushik Sen;We bought a flat At one of your developments. Your sales manager Chris Holder is the most incompetent manager that we have seen. It has been 8 months and our communal energy accounts still not set, so we are all expecting a huge bill soon. You do not know how to keep your promises as time and again you miss sell information for which you should take responsibility but as always you don’t. You do not care about your customers and people like Chris Holder makes it worse. Your leadership team has no clue of what is going on and does not have any control over the team. Apartments were handed over 7-8 months late and no compensation was offered. You sales manager Chris Holder does not even know how to talk to customers who have paid premium price to buy in your development. We buy parking spaces and then other people parks in our space displaying names of Housing Association sales manager like Chris Holder saying that he has given permission. On being contacted Chris Holder does not even have time to resolve the issue or reply on time. It feels more like Housing Association is doing a favour. Just by changing logo id the attitude and the quality improved many leaders and organisations would have been successful. Definitely the wrong unethical people are working here. Leadership team because they are a part of larger housing association does not care about customers.; 1 star 
STARLITH JONES;Regards complaints of Anti-Social Behaviour of neighbours being of one and the same housing, we are suffering with noisy neighbours as they get their family who are not tenants staying in a 2 bedroom home with 2 kids who are screaming and crying so very loud at odd hours of the night and whenever we complain we just get an automated response  but they say the Officer in charge would get back but its been several months now since we got any response on the course of action taken and from the ongoing matter we can guess that there no sort of action implemented and that they just seem to ignore the matter.  Not fair as we are very good tenants paying all our rent & taxes properly and my husband goes to an early shift at around 3.00 am in the morning but yet noone ever cares a damn to looking into our matter with utmost consideration.  Only these people who are Somalian and who are always considered on sympathetic basis but not adhering to any housing laws or the Country laws.  We are so vexed with this situation.; 3 stars 
STARLITH JONES;"I am again writing another review about my housing Housing Association.  I must say they have improved in their repairs and maintenance issues with the New Contractors and from my experience, I am happy with this progress.
My issue though however is with the housing officers who need to do more for their tenants and be more considerate and take matters more seriously with dealing with noisy neighbours who are not even their tenants and who are visiting but sometimes staying on and during late hours of the night they disturb people who have to go an early shift like 3.00 am to start and wake up.  I have even several times mentioned about autistic son who is so much agitated with this noise nuisance but all they do is seem to ignore our feelings by only just acknowledging by saying we are sorry to hear this and we know how you feel and that they cannot do anything about this matter as it is for the Noise environment team to deal with it.  I even had been assaulted by those tenants' visitors but yet they just kept on having me on by saying that the officers were changed and so sorry that there was noone to take up the matter etc.  They just kept me hanging on for so long and to end with no resolution to my problem.
Those good old days and the standards of the housing are all gone and we can never get back such good service by such valuable officers who were so very good at their jobs. Very out reaching and really had aptitude of dealing with such matters.  They would be responding to our matters be it busy or not by even having the decency to tell us that they would get back to us as soon as they finish any work that they are busy about.  This is how they should treat tenants who are never defaulting I their rents nor having any sort of trouble with like adhering to the housing laws above all. This is grey issue to look into as they cannot simply ignore the tenant who has special needs and try to sympathise with the non tenants who seem to be crying children throughout the night with loud screaming nonstop cries."; 1 star 
Denise Bush;Have spent nearly a year trying to get a repair done.  Buying my flat through shared ownership with Housing Association was not one of my greatest ideas.  Would advise others to avoid them like the plague.  As with other people's experiences I have been ignored or just lied to.; 1 star 
Patricia Joseph;Social housing landlord that provides what is considered affordable housing. Their reputation is not very good.; 2 stars 
Shawali Yarzi;Reported a fault twice, but not responding to emails and not picking up phone calls. I don't know what is happening. I must go to their office in person and see what is the reason..; 1 star 
Ab out;"Updated 08 May 2017.
It's been very hard work for myself and family but with the help of Becky, Shelagh, Liz and all the rest of the team there we have finally got our beautiful 2 bed home. You all have been very helpful and understanding and to see my daughter running around the house and garden fills me with happiness.

Never try to leave for another help to buy property, we've been trying for 15 months and because we own this place everyone favours first time buyers. We now have the prospect of 3 of us living in a 1 bed house. I wish someone had told us this before we bought in!

Update 15 Sept 2018.

The last 6 months their customer service has gone downhill, I don't know why they even bother to have a online form to fill when nobody even reads it. I'm so close to speaking to a solicitor about this now."; 1 star 
Burak BOSTANCI;Dealing with Housing Association is always maddening. I contacted to get replacement my fob. They could not find which company they work for, and then they could not confirmed how much will cost. I found myself the provider company. and then told them to contact the company. after 5 days and after 6 calls, I could manage to order replacement fob; 1 star 
Natasha Worthington;Not very helpful always having to chase the about things and my flat is not liverable.; 1 star 
Max Stovell;Engaging with Housing Association is always maddening. The level of incompetence in their customer service team is staggering. Consistently poor record keeping frequently results in speaking to multiple individuals with little comprehension of what going on and no concept of how to resolve issues.; 1 star 
mo talks;"This organisation has a history and a culture   of extremely poor service  With no accountability, been  reporting  issues for over 20 years with surveyors coming to check issues , all falling on deaf ears they never turn up They just dont care. The Housing Association 3 monthly magazine keeps touching on improving customer service . This has to be the worst and the most dysfunctional uncaring  organisation we have ever had to deal with. Shame on you Housing Association for making peoples lives a misery.  I'm not shocked to read the poor rating you have on Google.
Overcrowded Family of 9 living in a 2 bedroom . Eating breathing living black mould in the house.
We have children hospital letters regards to black mould .  Asbestos has also been discovered . 2 housing officers came took all our info documents proofs of address etc, etc,  and told us we would be placed on locata .  3 months of chasing up ringing the mobile  number left, housing officer by the name of koffey who never responded to any of the missed calls text messages or voicemails .
Months later I just turned up at there office, i spoke to allocations, who informed, me we have no info in regards to what you are saying. They hadn't been passed on any info.
Our  walls are full of black mould every week I use hazards mould chemicals.
Even after the discovery of asbestos by Housing Association themselves .
We are still here suffering .
We should have been rehoused immediately.
This is a inhumane and a shameless organisation, shame on you Housing Association .
You should not be allowed to operate .

They dont deserve a 1 star they deserve a - 0 rating"; 1 star 
Marion Saunders;Blocked toilets, bath and sinks...not our fault as the drain outsidewas blocked. Despite being told a day twice (on Wrdnesday and Thhrsday) that someone woukd be coming ,  no one turned up. 3 phone calls to them today and the job was done. So a big thank you to the receptionist who handled my calls today and the manager for making sure the work was carried out.; 4 stars 
Alex Newman;"Having to call multiple times. Solutions are not being provided within a decent timeframe.

I have listed the names of all the incompetent customer service agents I have spoken to. Will be reporting to BTSI and TOP.

One of the most unprofessional companies I have ever dealt with.

Just shambles of a company. Get your act together and take some pride in how do business. It's a total disgrace how you do things."; 1 star 
George Nicholson;Used to be not so good, but getting better.; 3 stars 
R Patel;Very poor service...landlord is not good at all. Not doing sepsis on time n ignores their tenants; 1 star 
Diamond Marshal;Really bad housing don’t change the boiler that needs changing it keeps getting broken every few months we have to keep putting emergency water which kills the electric .reslly annoyed; 1 star 
Tony Palmer;"19/2/2019 can someone help!,,or listen

I have reported a blocked kitchen sink  for 8 times over the last 3 weeks  with the  Housing Association Staff, and the repairs team and the contract Supervisor who promised to show up  twice and did not ,which is allowing the residue of waste of contaminated fluid to come back  up into the kitchen sink. This fluid is a reflux wastage fluid which is very dangerous and contains legionare disease in the wastage system  .

I have had to manually sythone this contaminated water out of our kitchen sink with a towel, every 2 hours as the reflux of this fluid keeps filling up and flooding the sink and floor area. I have had to adjust my schedule and my personal life to be able to deal with this issue. Cleaning up every 2 hours coming up to 3 weeks now

We also have a further issue with the hot water and Central heating system which is also not working!!
We were  assured that someone will attend today 4/3/19 to assist with these repairs ; again no response!,,
It it now yet again 17.00 Monday 4/3/2019 and yet again no response from anybody

Now I am not one for complaining, but I have to say something, because this whole thing is humanely unacceptable. We are exposed to this contaminated water which is getting worse for nearly 3 weeks ,with  no water to wash or have a shower or any central heating to keep warm!!! And it is cold at the moment!

Is someone going to take this seriously and let us know what is going on."; 1 star 
Marva Harris;"Racist company who do their profiling and judgements at the very first meeting.
They should not be allowed to continue to treat hard working people in this way."; 1 star 
Eesha Angel;All they say is thank you for your review instead of answering your question. Don’t thank me instead sort out the issue and hire a better pr team; 1 star 
Jacqueline Donaldson;Nice place to work. Just started.; 5 stars 
Kandi Brown;The repairs service it absolutely awful, they have literally just stopped doing repairs for whatever reason, so houses are falling into bad disrepair!; 1 star 
Bak Zani;"Cheap materials used to build house.

I have had an ongoing issue with Housing Association Housing for the breakdown of my Boiler, it is an issue that has gone on for 2 years. We have been told by multiple engineers that they had advised Housing Association that the boiler needs replacing and is not repairable due to the poor quality of the boiler in which they first used to build the houses.

The Problem with boiler was that it would not hold any hot water. So as soon as the water would heat up the boiler would then dump it because it would over heat. Therefore every time the boiler would use energy to heat up water, it would then dump it.

This caused high bills as energy to fill up the whole boiler was being used, but the hot water would only remain in the boiler for a couple of hours and not for a day or two as advised by engineers who would visit to try and fix it.

The response from Housing Association has been extremely poor, even though multiple engineers would come to try and fix the problem and then report back to Housing Association that a new boiler is needed, they did not replace the boiler they were responsible for. Housing Association was aware of the defective boilers as they were advised multiple times by the engineers who visited and they also had replaced a same make boiler couple houses down form ours.

They only change the boiler when elements under the boiler were getting wet due to the leaking of the boiler which had also been going on for a long period of time. It is only when an electrician came and told us to change the boiler as a matter of an emergency because it was dangerous as we also had a baby at the house.

We had also arranged an appointment with an engineer from SSE to come and see why he had such high usage and his conclusion was that the boiler was taking up an outrages amount of energy. Furthermore, SSE have sent you a breakdown of how much energy was being used before and after the boiler was broken and that shows double the usage of energy whilst the boiler was broken.

Now Housing Association have refused to make a contribution towards the electricity bill as somehow whole boilers of hot water being dumped, then heating up water again and that happening every time we would need hot water doesn’t contribute to high electrical usage.

We also have a half hanging fence in the back garden with a two year old in the house. We have been told not to let him in the garden, about a year ago. Still they have not come to fix it."; 1 star 
Whats Apps Steven Morris;Yes and woz made very welcome by the staff; 5 stars 
Hannah I;Doesn't even deserve one star. AVOID. They are rude and will not fix anything in the property for months, even if this is a boiler and there is no hot water/heating for weeks. Disgusting company.; 1 star 
cool cool;Over 20 year from now ealing Housing Association Housing has distroy my life mentality  with all the problems  in my property.  And the lies I have develop  lung problems  mental  illness . I have slept  in the shower  room  for over 6 years  that's because  the wet  damp smell in the bedroom  and the sitting room   for over 20 years  I have being asking Ealing Housing Association Housing to sort this property  out  but they never listen  to me . I have not use my kitchen  for over 6 years due to coldness  and wet wall when my son try to cook for me . Have a disability with a spinal  condition  and nerves damaged  and I canot believe they have left me in this condition  my wight keeps going up and down due to not eating even privacly the shop keeps would drop some door for me to eat .as they was even shocked how cold was it in my property even with the heaters on . I have not eaten properly over 20 since  I moved in to this property.  When I moved in over 20 years my housing officer told me they would sort this properly  so it can be livable . That has not happen and it's 2018 . With the same problems  . I'm shock how ealing Housing Association Housing  lie so much and that's all off them who i have spoken  to and the ones who has visited  the properly.  The only thing they keep saying is it's a old property.   .and I keep telling them that's nothing to do with if it's a old property  there is hundreds off old property's that has being fix  . Basically  what they are trying to say is they dint want to fix it  and make it livable  fir me . Ealing Housing Association Housing  has distroy my life mentality  and other health problems   sometimes I cry and worry  why I have being left like this for so long i cannot even focus  no more properly this is hell with no help; 1 star 
Margaret Spencer;"Mark from the Tenancy Management was going to phone back about 3 weeks ago about an on going problem with have down our Drive.

This company are useless they never return calls/emails.

The only part of this company who are capable are the gardeners who do a good job."; 1 star 
shola liverpool;Poor customer service . DANIEL hung up on me when i asked for his surname. Absolutely shocking !; 1 star 
???? ????????????;"I am very disappointed with this company..they do not care about the safety and comfort of your place
This company does not care at all about the comfort and safety of the resident.
We bought a new flat more 2 years ago and we were promised that we get our allocated car park but this does not happen and people park anywhere even in the fire exist. People park anywhere and we can even come out from the flat. It is a disaster. We were promised a luxury place to live!!!!
When I first raised the issue, the guy who was responsible for the resident parking was very unhelpful and rude as well.
It is now more than two year and we are still struggling with the car parking. I strongly advice you against buying or using this company.
You can see it by yourself... come and see the Bartlett Crescent in High Wycombe. It is a mess.."; 1 star 
Yousuf Shadman;"They are the worst
1: tell lies cheating
For example in emergency repair took a year more than 10 appointments made but missed then excuse or either blame upon the house owner"; 1 star 
Nick Lee;I've never encounted such poor customer service. I'm avoiding buying a new flats if they look after them, it's just not worth the greif.; 1 star 
Jane Brown;"I have previously been with 4 housing associations and Housing Association Housing are diabolical ! The worst ever ... They really should be shut down , taken through the courts !
They treat all the tenants as a joke , their customer service is atrocious, they don't honour any repairs or update their properties to the standard of living !
When the contractors come out to do their repairs if it's a job that takes more than 5 minutes or costs much money the contractors won't do it AS apparently Housing Association won't pay them !!
I know that contractors, banks, tenants and financial services all dread Housing Association as they have such a bad name !
I am now going through Citizens Advice and Housing Omnbudsman as have been waiting 1 year to get any repairs on my house !
Customer service with Housing Association is shocking and all staff have attitude .
Wish I could get a swap to another housing association or council !
Unfortunately Housing Association housing have such a shockingly bad name nobody will exchange to my 3 bed house as they don't want Housing Association as their landlord !
Shame on you Housing Association housing .
I am sad to say they are merging with Aldwyck which is also very worrying .
Can't understand how Housing Association are allowed to get away with constantly passing the buck !
All tenants need to unite against them as they are clueless with no communication , no support , leaving properties in a mess and the whole company are just Cowboys !
Very unprofessional indeed !"; 1 star 
Natasha Worthington;Feel that could give a better service as they take to omg to sort things out .; 1 star 
kissiz baby;Housing Association should be ashamed of themselves! The way they speak to tenants and address their B135concerns is appalling. The conditions they feel are acceptable for their tenants to live in is a disgrace. The RSPCA, would not even allow animals to live in such conditions..; 1 star 
Carl Bates;Do not deal with Housing Association Housing after staircasing to 100% we learned that the recommended solicitor did not inform us the property will not transfer to freehold. To make it worse the leasehold is 99 years. We have been ripped off and now having difficulties resolving the issue. Do not be another ripped off customer.; 1 star 
Yasin J;Please take it from me avoid moving to a Housing Association managed house if possible, they used to be so bad - however, they just get worse and worse each year and bad is no longer the word to describe the company.; 1 star 
M S B;"Extremely arrogant staff; don't care for their tenants; dangerous disrepair is a common place; many tenants suffered or are killed because of their negligence and malpractice. Routinely tell lies and take tenants to court on false allegation with lies. In summary a CRIMINAL ORGANISATION."; 1 star 
Molly Marie;Incredibly unhelpful, disorganised and unresponsive.  Unable to get through to the appropriate person over the phone and emails are not responded to. Causing unnecessary stress for an issue which has been created by Housing Association not by myself. Only able to make a complaint in writing, unable to speak with the complaints department over the phone.; 1 star 
Nazanin Kazemi;"Government housing scheme feeding property giants with young buyers
Dear Sir/Madam,
I'd like to take your attention to a problem which many young people are struggling with. A problem which is started by a government scheme without any sort of control on it where buyers took park in Shared-Ownership scheme (promoted by government) and then as soon as the purchase was done they were left alone to face all the discrimination and misbehaviour from the property giants they've been dealing with.
Below is a summary of one of the issues we are dealing with. I'd like to write more about it and inform more people about the different situations which are being forced to us.
We've purchased a shared ownership flat from Housing Association Housing in Beaufort Park (NW9) which is developed by St George. The development is started about 10 years ago and still on going and the uncalculated amount of development is causing lots of conflict of interests in the area. As a young couple 3 years ago we decided to go ahead with this government scheme and purchase a shared ownership flat but now we are facing more and more discrimination towards us from St George. I believe St George is permitted to build this development on the condition of assigning a part of their development to Shared Ownership buyers and they've taken it as a force from government and in return they are putting the shared owners in a corner and by not providing services to us had made our life very difficult.
We had a number of issues which I can explain later but in their latest action St George is taking away our parking spaces to give it to their customers. We have paid for these spaces and are paying an annual fee for it but because St George is building another block next to us which is for their customers (Not shared ownership) they are now taking our parking spaces to give it to their new customers.
The parking spaces are below our flats (under building) and I don't see anyone more eligible than us to use them. I find it very offensive when St George is claiming our parking spaces were allocated to us on Goodwill Gesture. We are not living in a homeless shelter or a charity venue and paying mortgage and rent for our properties but they are treating us as unwanted residents who were forced to their development.
I believe this need to be publicised so more people now about it and don't fall in the trap of shared ownership.
Many thanks,"; 1 star 
hadj hadj;1 start is more than enough for this housing association every  thing is rubbish customers service, repairs service and transfer service.; 1 star 
Charmaine Page;Great unless you need something done! ; 1 star 
John Barham;Extremely poor customer service from domestic staff A pro resident neighborhood manager will solve problems at WMP; 1 star 
Faranak Rahman;Looks great from the outside; 5 stars 
Rashpal Bhatti;They are not helpful charging lot of rent and not letting buy I'm living there for years; 2 stars 
lirim seci;Nice and polite costumer service; 5 stars 
Bob Sherzad;Rude staff, poor management and service...; 1 star 
Lee H;Avoid like the plague !!!!!! Bunch of liars; 1 star 
Ian Mead;By far the worst housing association I have ever used 6 years with damaged boiler leaking destroyed kitchen and damp got into boards on washing machine and dishwasher that I’ve replaced enough is enough I’ll be getting lawyer and recording confosations and finally get the help we should of had my boiler was damaged last Christmas and there answer was to bring 2 fans heaters out; 1 star 
yota valai;Future; 5 stars 
Umesh Gohil;100/100; 5 stars 
My Journeys;Slow service, rubbish; 1 star 
peter wild;Useless; 1 star 
jenny wadhwa;Helpful staff; 4 stars 
Imran Roy;It is amazing very good atmosphere; 5 stars 
Tiger Lily;horrible place to visit; 1 star 
Buchilo Moyo;; 1 star 
Max Waller;; 1 star 
Michael;; 1 star 
Sofia World;; 1 star 
PHIL ASPINALL;; 5 stars 
Kathryn Erskine;; 1 star 
Winsome Gillette-fussell;; 5 stars 
Alan Jones;; 1 star 
Colin Reveley;; 1 star 
Debbie Harman;; 2 stars 
mark araja;; 1 star 
Petre Ana Maria;; 5 stars 
Amal Butt;; 2 stars 
Federica Cesari;; 1 star 
Mj Kc;; 1 star 
Deborah Tracey;; 5 stars 
Sorin;; 3 stars 
David Yeo;; 1 star 
Ash Gold;; 3 stars 
Lawrence Riley;; 4 stars 
Shumi Saad;; 1 star 
Modhu Miah;; 1 star 
April Williams;; 1 star 
Ellese Playz;; 5 stars 
Adwoa Nsiah;; 1 star 
Betty Guerra;; 1 star 
Stuart Knipe;; 5 stars 
a mt;; 1 star 
Kevin Pritchard;; 5 stars 
Omotele makinwa;; 1 star 
Ionut Ionut;; 5 stars 
Brian Cork;; 5 stars 
Mr K;; 5 stars 
Christopher Matthew;If I could give negative stars, I would. The customer service is a total shambles. They lose or 'close' tickets even though the repair is still outstanding. What 'is' repaired usually breaks again (our lifts are constantly out of service). We are overcharged ridiculous amounts (£300 to remove a sign). They do botch jobs (fire safety signs were removed on every floor and 4 holes were left behind never filled or repainted... the wrong paint was used in the corridors to cover filler leaving walls 'striped' every few metres on all floors, we've had leaks in various windows around the building that have not been fixed for years even though water gushes in when it rains). Even 'easy' jobs are left for maddening amounts of time (the entry phone was broken for 12 months until residents had to contact the CEO of Housing Association to get it done).... And I could give dozens of other examples. It is a disgrace of an organization that takes money from both the government and residents alike and leaves us to live with it.; 1 star 
Nick Gold;"Avoid like the plague.

Renting a market-rent property from Housing Association in South West London since 2010.

Advantages:
* Great central location
* Excellent transport links
* Two nice neighbours

Disadvantages:
Just a few of the issues encountered over the years:
*Building built in 1800s - no cyclical  maintenance at all, just reactive repairs
*Thankfully I have good neighbours - but there are some very weird tenants & some outright dangerous ones (murder in 2014). There are also families and professionals, must the latter tend to leave after a couple of years, once they see what the place is really like
*Squatters
*Rats in communal areas
*Had a good caretaker until two years ago - new caretaker basically doing nothing all day, no cleaning of communal areas
*Due to Victorian drains and neighbours throwing grease down their kitchen sink, toilet doesn't drain every couple of months - hours of work lost over the years waiting for repairs. They won't invest in a new drainage system. Thankfully the drainage sub-contractor Advanced Drains are very good - I know all their workers by name now, as I've basically met all of them multiple times over the years :/
*Paying £1000 in rent for a tiny one-bed flat
*Ineffective layout - corridor, small living room, corridor, kitchen, bedroom. So to get to the bedroom you have to go through the living room
*Finally they've started major refurbisment works recently - received two letters on these. One around May 2018 saying the works would start in July (they didn't). Another in December 2018 saying the works would start soon and the contractor would be in touch (they haven't been). Then suddenly on 3rd January 2019, cowboy scaffolders turned up with no warning from the landlord or the contractor
*They won't decant tenants despite needing to refurbish kitchens and bathrooms. No Housing Association project managers or responsible persons to speak to other than the call centre staff who obviously aren't very informed and keep transferring you from one department to another
*Vehicle gate always open, so basically anyone can come & go - which means random people park their cars in the residents' parking lot
*Two abandoned cars in the residents' parking lot being used by squatters and drug dealers for about the last year. Police are monitoring but nothing concrete being done
*Windows and doors not double-glazed and have ineffective sealants, so very cold in winter and expensive to heat
*People parking their motorbikes in fron of our front door
*Fly-tipping in the parking lot
*Anti-social behaviour in the parking lot especially in summer - preventing people sleeping and making them feel unsafe
*Trespassers last year due to main building door lock being continuously out of order for months and months - despite continuous calls to repair call centre and multiple attendances by the maintenance contractor Axis.

If I could go back in time, I never would have rented here.

It's like living in a slum, and paying £1000.00 per month in rent for the privilege."; 1 star 
James Parker;The don’t deserve a single star if we are being honest. They hired builders that would take pictures of us, perving over a female flat meme we of ours. They made so many mistakes that a three month roofing project took six years. We got no compensation from Housing Association for six years of drilling noises. Utter trash company that are just looking to make cheap quick deals to make their tenants suffer.; 1 star 
Ge Ku;"Money hungry thieving housing association. Very bad customer service.
Stay away from them!"; 1 star 
Our London;Don't rent with Housing Association, our flat is the flat that Jack built. It is a disability flat but I've been left for 2 months with no working shower, the shower chair was hanging off the wall, I only discovered this when I sat on ot the first time. Stick with Council housing!; 1 star 
Waffle cloud;"Worst people to talk to.
Don't listen and cut off when they want to."; 1 star 
Okatakyie Kofi;Terrible service. No show at confirmed appointment and rude repairs contractor- Wates.; 1 star 
Reagan Rodrigues;We did receive a letter a while ago, mentioning that there has been an under payment of our monthly service charges after the accounts were complete. Did ask the office to send me the bills, as I wanted to view and verify the overpayment of funds. The office till date haven't sent me the bills but have instead posted a letter mentioning that if the payment wasn't made by the deadline, this matter would be escalated to county court. It's difficult to understand how they function. They demand the money without providing any evidence. Invoices have been requested but till date we haven't received them. Over the past few days we hav been calling the office and have emailed them to get this matter resolved but they keep ignoring our request.They have the nerve to contact our mortgage lender but will notact us directly. I'm not denying payment I just need invoices showing the overpayment made regarding service charges.; 1 star 
Mash P;Boiler packed up. NO HEATING OR HOT WATER . CAN NOT GET ANY ANSWER TO GET IT FIXED . . BEING A PENSIONER AND IN THE VULNERABLE GROUP.  YOU WOULD THINK THEY  WOULD HAVE A EMERGENCY  NUMBER .Eventually Got  Hold Of Someone At Housing Association, And they have Come and Fixed it . Thank you .; 3 stars 
Tania Begum;They don’t even deserve 1 star! Terrible service! I got my property on the 11th of September they’ve gave it to me in the worse condition ever, they didn’t even want to get it fixed for me, my som who has autism, I’m a single mother I had to do everything together! Terrible terrible terrible!!!!; 1 star 
Mr Mark;They are killing me. I desperately need legal advice against them before they carry out their threats. They have stolen my money, trashed my goods, refuse to hear complaints or manage facilities. They have illegally evicted me once and are harassing me. I'm scared to death. Please help me. They have prevented me getting help from citizens advice and their ex employee now works for Plumstead law center and is helping them destroy me having stolen my identity. UPDATE: they are still at it. They've harassed me near to death (evidence available) to rob me of yet another Christmas. I'm on pills now. I can't deal with it any longer. I've lost everything to these evil people and can't get legal representation.; 1 star 
Samir Lamda;Terrible company, bad management and service, they don't show any interest to their customers; 1 star 
